Words to Learn

Learned Words

The Rest
der, die, das; тот, та, то, те
Wechselwirkung;взаимодействие
Zettel;листок, записка
Zins;процент
Zone;зона
Abbau;снижение, уменьшение, добыча
Agentur;агентство
Akademie;академия
Anfrage;запрос, запрос
anklagen;обвинять
anwesend;присутствующий
Aufführung;выступление
aufklären;разъяснять, информировать
Auflage;издание, условие, покрытие
auftragen;наносить, подавать, поручать
aufwachen;просыпаться
Ausbau;расширение, укрепление
auskommen;лажиться, справляться, уживаться
ausschalten;выключать
ausscheiden;уходить, выходить в отставку, выбывать
backen;печь
Bär;медведь
bedauern;сожалеть, жалеть
Bedenken;опасение, сомнение
befriedigen;удовлетворять
bekämpfen;бороться
beschädigen;повредить
betrieblich;операционный
Buchstabe;буква
bürgerlich;гражданский
Dokument;документ
einheimisch;местный
einschätzen;оценивать
Einzelheit;деталь
empfindlich;чувствительный
Erfüllung;исполнение
erschließen;разрабатывать, открывать
erziehen;воспитывать
extern;внешний
Finanzminister;министр финансов
formen;формировать
fröhlich;веселый
Führer;руководитель, гид
Fusion;слияние
Geruch;запах
Gleichgewicht;равновесие
großzügig;щедрый
heimisch;местный, родной
Investor;инвестор
jagen;охотиться
Kerl;парень
Kollegin;коллега
kombinieren;комбинировать
Komponist;композитор
konventionell;конвенциональный
kriechen;ползать
Kurve;изгиб
Labor;лаборатория
Landkreis;район
lenken;управлять, направлять
letztendlich;в конечном итоге
linear;линейный
Märchen;сказка
Mittelalter;средневековье
Möbel;мебель
Moderne;современность
motivieren;мотивировать
mühsam;трудно
Nerv;нерв
nördlich;северный
Ofen;печь, плита
Pflege;уход
Plattform;платформа
Posten;должность
professionell;профессиональный
Profi;профессионал
psychologisch;психологический
qualitativ;качественный
Regime;режим
reichlich;обильный
reiten;ездить верхом
Rock;юбка, рок-музыка
Rücktritt;отставка
Schrank;шкаф
schwanger;беременный
Sekretärin;секретарь
Solidarität;солидарность
sozialistisch;социалистический
spazieren;гулять
Sportler;спортсмен
Stabilität;стабильность
Status;статус
Staub;пыль
strukturell;структурный
stumm;немой, молчаливый
Tanz;танец
Topf;горшок
Überblick;обзор, вид
umbringen;убить
Unsicherheit;неопределенность
untergehen;заходить (о солнце)
verdanken;быть обязанным, благодарить
vermehrt;увеличенный
versammeln;собирать, собираться
verzweifeln;отчаиваться
Vorhang;занавес
wandeln;менять, преобразовывать
Winkel;угол, уголок
womöglich;возможно
Zitat;цитата
zulässig;допустимый
zusammenkommen;встречаться, собираться
zusammenleben;жить вместе
zusehen;наблюдать
Abenteuer;приключение
Abgrenzung;граница, разграничение
abziehen;снимать, убирать, вычитать
Akt;акт
Akteur;участник, актер
aktivieren;активизировать
Allianz;альянс
alltäglich;ежедневный, обычный, обыденный
Armut;бедность
aufsuchen;посещать, искать
Ausgleich;балансировка, компенсация, изменение
ausstellen;выставлять, выписывать, оформлять
Begeisterung;энтузиазм
beinhalten;содержать, включать
bereitstellen;предоставлять, ставить на учет
berufen;назначать
beträchtlich;значительный
bewähren (sich);зарекомендовать себя
bewältigen;справляться, преодолевать
Bezirk;район
blühen;цвести
charakteristisch;характерный
chinesisch;китайский
dankbar;благодарный
dauernd;постоянный
detailliert;детализированный
Diagnose;диагноз
diskret;дискретный, конфиденциальный
Dresdner;дрезденский
Dunkel;тьма
Durchmesser;диаметр
Einladung;приглашение
einreichen;подавать, представлять
einschlagen;забивать, разбивать, выбирать
einseitig;односторонний
einverstanden;согласный
Empfehlung;рекомендация
erfreuen;радовать
erholen (sich);восстанавливаться, отдыхать
Eröffnung;открытие
erschießen;расстрелять
ersparen;избавить, сэкономить
erstrecken (sich);простираться, охватывать
ertragen;терпеть
Felsen;скала
fließend;бегло
Flüssigkeit;жидкость
Fräulein;мисс, молодая леди
Friedhof;кладбище
Front;фасад, фронт
Fülle;изобилие
Gebirge;горы
Geschäftsjahr;финансовый год
gestehen;признавать
gleichwohl;тем не менее
Gras;трава
Großstadt;большой город
Hang;склон, наклон
herkömmlich;традиционный
hinzu;в дополнение
Hügel;холм
infizieren;заразить
Ingenieur;инженер
konfrontieren;конфронтация
Kongress;конгресс, съезд
kostenlos;бесплатный
lauter;одни, только
löschen;тушить, удалять
männlich;мужской
mechanisch;механический
medial;медийный
monatlich;ежемесячный
Muskel;мышца
Nachweis;доказательство, свидетельство
neunzig;девяносто
oftmals;часто
Orientierung;ориентация
örtlich;местный
physisch;физический
PKW (Personenkraftwagen);автомобиль
polnisch;польский
präzise;точный
Rhythmus;ритм
Rücksicht;внимание, учет
samt;вместе с
schweben;плавать, парить, находиться в подвешенном состоянии
Senat;сенат
siebzehn;семнадцать
sogleich;немедленно
Steuerung;управление
Stolz;гордость
strahlen;сиять
symbolisch;символический
Teilnahme;участие
telefonieren;телефонировать
treu;верный
trösten;утешать
überstehen;пережить
Universum;вселенная
Unterhaltung;развлечение, беседа
Unterlagen;документы
unterschreiben;подписывать
veranlassen;поручать, организовывать
Vereinigung;организация, ассоциация
verhaften;арестовывать
verkehren;ходить, общаться
vermeintlich;предполагаемый
verpassen;пропустить
Vertretung;замещение
Volkshochschule;народный университет
vorangehen;продвигаться
voraus;впереди
vorig;предыдущий
Vorsicht;осторожность
wach;бодрствующий
Wahrscheinlichkeit;вероятность
Wange;щека
weitergeben;передавать
weitermachen;продолжать
Werkzeug;инструмент
Zeichnung;рисунок
zulegen;приобретать
Zunahme;увеличение
zustehen;принадлежать
Zwiebel;лук
abheben;взлетать, снимать (деньги)
Ablehnung;отказ, отклонение
abschneiden;отрезать
Abstimmung;голосование, координация
agieren;действовать
allenfalls;в лучшем случае
alternativ;альтернативный
anordnen;приказывать
Anordnung;приказ
Anregung;стимул, идея
anrichten;приготовить, нанести
anstehen;стоять в очереди
ärztlich;медицинский
aufrufen;вызывать
Aufsatz;сочинение
aufschreiben;записывать
aufspringen;вскакивать
aufwendig;затратный
ausdehnen;расширять
ausnutzen;использовать
ausprobieren;пробовать
ausweichen;уклоняться, избегать
Backofen;духовка
Bakterie;бактерия
beabsichtigen;намереваться
beeinträchtigen;ухудшать
Befund;результаты
begeben (sich);направиться
begehen;совершить
bemerkenswert;замечательный
Bemühung;усилие
Beobachter;наблюдатель
Berater;советник
bergen;спасать, прятать
beseitigen;устранять
besorgt;обеспокоенный
Betrachter;наблюдатель
Betriebssystem;операционная система
Bildschirm;экран
Blüte;цветок
Brille;очки
charakterisieren;характеризовать
chronisch;хронический
Datenverarbeitung;обработка данных
demonstrieren;демонстрировать
dokumentieren;документировать
dreizehn;тринадцать
durcheinander;в замешательстве
düster;мрачный
effizient;эффективный
Eigentümer;владелец
einlassen;впускать, ввязываться
Eintragung;запись
emotional;эмоциональный
Ensemble;ансамбль
Enttäuschung;разочарование
erforschen;исследовать
erreichbar;доступный
erschöpfen;истощать
erschweren;затруднять
erwachen;просыпаться
erwecken;пробуждать
Faust;кулак
Festival;фестиваль
flüchten;бежать
fressen;пожирать
Galerie;галерея
Gemüse;овощи
gemütlich;уютный
Genehmigung;разрешение
gespannt;напряженный
gewissermaßen;в некотором роде
gießen;поливать
gleichen;быть похожим
Großvater;дедушка
Grundschule;начальная школа
grüßen;приветствовать
Hass;ненависть
hervorgehen;происходить
hinüber;через, напротив
Höhle;пещера
Innenstadt;центр города
intelligent;интеллектуальный
irren;ошибаться
Jazz;джаз
Kloster;монастырь
Kohle;уголь
Konsument;потребитель
landwirtschaftlich;сельскохозяйственный
Lärm;шум
lauschen;подслушивать
Liter;литр
locken;заманивать
Lokal;кафе
loswerden;избавиться
Malerei;живопись
maßgeblich;решающий
Maßstab;масштаб
Materie;материя
mobil;подвижный
motorisch;моторный
Münze;монета
nass;мокрый
Netzwerk;сеть
operativ;оперативный
pakistanisch;пакистанский
philosophisch;философский
Praktikum;практика
realistisch;реалистичный
Rückgang;спад
sachlich;объективный
Sack;мешок
Schuldner;должник
schweizerisch;швейцарский
sicherstellen;обеспечивать
spiegeln;отражать
ChatGPT
Sportart;спорт, дисциплина
Stamm;ствол, стебель, племя
stehlen;украсть
Streifen;полоса, лента
Tasse;чашка
Teppich;ковер
Teufel;дьявол
überflüssig;излишний
Überprüfung;проверка, контроль, инспекция
überwachen;наблюдать, следить
überziehen;надеть, покрывать, перерасходовать
umwandeln;преобразовывать
unsichtbar;невидимый
Unsinn;бессмыслица
unterdessen;тем временем
verbindlich;обязательный, дружелюбный
Verbot;запрет, запрещение
verlegen;смущенный
Vermutung;предположение
Versammlung;собрание, встреча
voraussichtlich;предполагаемый
Wäsche;стирка, белье
Werkstatt;мастерская, автомастерская
Wirtschaftspolitik;экономическая политика
wovon;о чем, от чего
Zeug;вещи
zueinander;друг к другу
Zunge;язык
zurücklegen;преодолеть, отложить
zusagen;обещать, согласиться
zusammenstellen;составить
Zwang;принуждение, давление
zwangsläufig;неизбежно
zwischendurch;между делом
abschließend;заключительный
abwenden;отвернуться, предотвратить
anscheinend;очевидно
ansiedeln;поселиться, учредить
Antibiotikum;антибиотик
Anweisung;инструкция
Anzug;костюм
Architektur;архитектура
Atom;атом
aufbewahren;хранить
auffällig;заметный
aufrecht;прямой
aufschlagen;открыть, ударить
Aufstieg;восхождение, подъем
Ausflug;поездка, экскурсия
Ausgang;выход, исход
Ausstattung;оборудование, оснащение
auswerten;анализировать
Bayer;баварец
Bearbeitung;обработка
beleben;стимулировать
berufstätig;работающий
beschaffen;достать
Besonderheit;особенность
Betracht;рассмотрение
Biologie;биология
blond;блондин
Breite;ширина
Butter;масло
Champion;чемпион
Differenzierung;дифференциация
Dirigent;дирижер
drastisch;драматичный
eilen;спешить
einsehen;осознать, просмотреть
endlos;бесконечный
Entdeckung;открытие
entfalten;раскрыться
Erfindung;изобретение
erhältlich;доступный
erhoffen;надеяться
erleiden;страдать
Ersatz;замена, компенсация
explizit;явный
fachlich;профессиональный
festnehmen;арестовать
Feuerwehr;пожарная бригада
Fieber;жар
fixieren;фиксировать
Fluggesellschaft;авиакомпания
fotografisch;фотографический
freigeben;освободить
Gebühr;плата, сбор
Geheimdienst;секретная служба
Generalsekretär;генеральный секретарь
Gepäck;багаж
Gerücht;слух
Gesetzgeber;законодатель
gleichmäßig;равномерный
gleichsam;как бы
Gliederung;структура
Grab;могила
Grenzwert;предельное значение
Handwerk;ремесло
hassen;ненавидеть
Heft;тетрадь
Helfer;помощник
hervorrufen;вызывать
hinnehmen;принять
identisch;идентичный
illegal;незаконный
industriell;промышленный
Intelligenz;интеллект
inwieweit;в какой мере
Jäger;охотник
jegliche;любой
Kartoffel;картофель
Käse;сыр
Klang;звук
klingeln;звонить
kommentieren;комментировать
Kompromiss;компромисс
Königin;королева
Konstruktion;конструкция
Kreislauf;кровообращение
Kugel;шар, пуля
Kuh;корова
lagern;хранить
Leiche;труп
Leidenschaft;страсть
Leistungsfähigkeit;производительность
Lieferung;доставка
Liga;лига
mild;мягкий
Milligramm;миллиграмм
Nachwuchs;потомство
Nacken;шея
Olympia;Олимпийские игры
olympisch;олимпийский
Palästinenser;палестинец
Parteitag;партийная конференция
Party;вечеринка
permanent;постоянный
plädieren;защищать
Planet;планета
Priester;священник
Problematik;проблематика
rauschen;шуметь
regelrecht;надлежащий
regnen;дождь
Rezession;рецессия
rutschen;скользить
Salon;салон
Schauspielerin;актриса
Schwangerschaft;беременность
Schweiß;пот
seufzen;вздыхать
Skala;шкала
sowjetisch;советский
Spalte;щель, колонка
Spektrum;спектр
spezialisieren;специализироваться
spürbar;ощутимый
starr;неподвижный
Steckdose;розетка
steuerlich;налоговый
strecken;тянуться
Tafel;доска, стол
Tagebuch;дневник
Talent;талант
Tempo;темп, скорость
tödlich;смертельный
umarmen;обнимать
Unruhe;беспокойство
Unterschrift;подпись
unterstreichen;подчеркивать
unverändert;неизменный
unverzüglich;немедленный
unwahrscheinlich;маловероятный
Ursprung;происхождение
Verbrechen;преступление
verfallen;портиться
Vergnügen;удовольствие
Verhaltensweise;поведение
Vermieter;арендодатель
vermindern;сокращать
vernehmen;слышать
Vernunft;разум
Verordnung;предписание
verschärfen;усилить
vertraglich;договорной
Villa;вилла
Vormittag;утро
weitaus;гораздо
Wohnzimmer;гостиная
woran;на что
Zerstörung;разрушение
Zinssatz;процентная ставка
Zulassung;допуск
zurückgeben;вернуть
Zusammensetzung;состав
Abschreibung;амортизация
Achse;ось
amtlich;официальный
anstelle;вместо
Anwesenheit;присутствие
auflegen;положить, опубликовать
Aufregung;волнение
aufreißen;разорвать
aufrichten;выпрямиться
auslegen;выложить, толковать
außergewöhnlich;необычный
Autobahn;автострада
Batterie;батарея
bedeutsam;значимый
belgisch;бельгийский
blass;бледный
brüllen;рычать
Chaos;хаос
Chefin;начальница
Chip;чип
Chor;хор
Design;дизайн
Dolmetscher;переводчик
Durchschnitt;среднее
durchziehen;пронизывать
Ehepaar;супружеская пара
Einbruch;взлом
einlegen;вставить
Eintritt;вход
elementar;элементарный
Erholung;отдых
erlassen;издать
Europäer;европеец
Fabrik;фабрика
flüchtig;мимолетный
fotografieren;фотографировать
Furcht;страх
gänzlich;целиком
Geduld;терпение
General;генерал
Germanistik;германистика
gestatten;разрешать
Getränk;напиток
Gewehr;ружье
Glied;звено
Graf;граф
Gremium;комитет
Gunst;благосклонность
Gutachten;заключение
Handwerker;ремесленник
Haustür;передняя дверь
herausnehmen;вынуть
hervorheben;выделить
Hypothese;гипотеза
Innenminister;министр внутренних дел
Islam;ислам
Italiener;итальянец
Kassette;кассета
Kasten;ящик
kognitiv;познавательный
Kommentar;комментарий
Konzeption;концепция
Kreativität;творчество
langjährig;долгосрочный
lügen;лгать
Magazin;журнал, склад
Marktanteil;доля на рынке
Maus;мышь
Menschenrecht;права человека
Mieter;арендатор
Militär;военные
Minderheit;меньшинство
minimal;минимальный
Ministerium;министерство
mutmaßlich;предполагаемый
Mythos;миф
nachträglich;последующий
namens;от имени
Naturwissenschaft;естественная наука
naturwissenschaftlich;научный
operieren;оперировать
Parkplatz;парковочное место
Partnerschaft;партнерство
Periode;период
Präparat;препарат
Provinz;провинция
quantitativ;количественный
Rahmenbedingung;рамочные условия
Regierungschef;глава правительства
Säule;колонна
schämen (sich);стыдиться
Scheidung;развод
schlank;стройный
Schönheit;красота
schulisch;школьный
servieren;подавать
Spezialist;специалист
Steigerung;увеличение
Stellvertreter;заместитель
strikt;строгий
strukturieren;структурировать
Subvention;субсидия
therapeutisch;терапевтический
Ticket;билет
Tunnel;туннель
Übersicht;обзор
übertreiben;преувеличивать
umsonst;бесплатно, напрасно
unglücklich;несчастный
Uniform;униформа
Unrecht;несправедливость
unterdrücken;подавлять
verdoppeln;удвоить
verdrängen;вытеснять
vereinfachen;упростить
verwundern;удивлять
Vitamin;витамин
Volkswirtschaft;национальная экономика
vorbeugen;предотвращать
vorlesen;читать вслух
Vorlesung;лекция
vorzeitig;преждевременный
wehen;веять
Weiterbildung;повышение квалификации
willkommen;добро пожаловать
wodurch;каким образом
zerreißen;разорвать
zielen;целиться
Zielsetzung;цель
Zucker;сахар
zuführen;подводить, снабжать
zurückweisen;отклонять
zutrauen;верить в способности
zuverlässig;надежный
abgrenzen;ограничивать, отличать
Abkommen;соглашение
ablenken;отвлекать
abreißen;срывать, прерывать
abschalten;выключать
Absolvent;выпускник
Abwehr;защита
aneinander;друг к другу
anmerken;заметить
Apfel;яблоко
Arbeitskraft;трудовая сила
Assistent;ассистент
ästhetisch;эстетический
aufziehen;наматывать
ausnehmen;выпотрошить
Auswertung;оценка
Bar;бар
Bedrohung;угроза
beiseite;в сторону
Bekämpfung;борьба
benehmen;вести себя
Beschränkung;ограничение
beten;молиться
bitter;горький
Block;квартал
bohren;сверлить
braten;жарить
bremsen;тормозить
daheim;дома
Darlehen;заем
Datum;дата
dulden;терпеть
durchgehen;пройти
einholen;догнать
einstig;бывший
Erhaltung;сохранение
erkundigen (sich);узнавать
Erzähler;рассказчик
Fachbereich;отделение
Fachleute;эксперты
Fakten;факты
fällig;подлежащий уплате
Fassung;основание
Flügel;крыло
flüssig;жидкий
folglich;следовательно
Forum;форум
Frequenz;частота
Frucht;фрукт
fünfundzwanzig;двадцать пять
Gerechtigkeit;справедливость
Gipfel;вершина
glänzend;блестящий
Großteil;большая часть
harmlos;безвредный
hässlich;уродливый
hochwertig;высококачественный
Hörer;слушатель
Indianer;индеец
Industrieland;индустриальная страна
installieren;установить
interkulturell;межкультурный
Jacke;куртка
Jagd;охота
Jahreszeit;сезон
konzipieren;разработать
Lampe;лампа
ländlich;сельский
Linse;линза
loslassen;отпустить
Lücke;пробел
Metall;металл
Missbrauch;злоупотребление
Motivation;мотивация
nachdenklich;задумчивый
optimistisch;оптимистичный
Option;опция
Ordner;папка
Ozean;океан
Physiker;физик
Pistole;пистолет
protestieren;протестовать
Reichweite;диапазон
Reparatur;ремонт
repräsentieren;представлять
Respekt;уважение
Rose;роза
Rucksack;рюкзак
Sänger;певец
schimpfen;ругать
schmutzig;грязный
schräg;наклонный
schreiten;шагать
seitens;со стороны
Sozialdemokrat;социал-демократ
spannen;натягивать
Tablette;таблетка
Tageszeitung;ежедневная газета
täuschen;обманывать
Therapeut;терапевт
überfordern;перегрузить
umstellen;перестроить
Umzug;переезд
unerwartet;неожиданный
Veranstalter;организатор
verfassen;написать
vergleichsweise;сравнительно
Verknüpfung;связь
vertiefen;углублять
Vorfeld;преддверие
Vorgänger;предшественник
vorherrschen;преобладать
Währung;валюта
wegnehmen;отобрать
Weltmeister;чемпион мира
wofür;за что
Wut;ярость
Zuordnung;классификация
zurückgreifen;обратиться
Zuwachs;рост
Abfall;отходы
absurd;абсурдный
Akte;дело
anderthalb;полтора
angehören;принадлежать
Anleihe;заимствование
antun;сделать
anvertrauen;доверить
Araber;араб
Arbeitszeit;рабочее время
aufräumen;убирать
Aufsichtsrat;наблюдательный совет
Ausgangspunkt;исходная точка
Ausrichtung;ориентация
Ausweis;удостоверение
Beachtung;внимание
Diplom;диплом
eh;всё равно
Einblick;взгляд
Engel;ангел
entgehen;избежать
Erfassung;регистрация
Fahne;флаг
Fakultät;факультет
Fassade;фасад
Feier;праздник
festsetzen;определить
Frühling;весна
Gemeinderat;муниципальный совет
gentechnisch;генетически
Gewebe;ткань
großartig;великолепный
Gruß;приветствие
herausgeben;выдать
hilflos;беспомощный
inszenieren;постановка
Jurist;юрист
Kerze;свеча
Koch;повар
Kölner;кёльнский
Kommune;муниципалитет
Koralle;коралл
Krankenkasse;медицинская страховая компания
Kunststoff;пластик
Landesregierung;правительство штата
Laune;настроение
mahnen;предостерегать
Nahrungsmittel;продукты питания
niederländisch;голландский
nirgendwo;нигде
ostdeutsch;восточногерманский
östlich;восточный
Philosoph;философ
Prinz;принц
Profil;профиль
radioaktiv;радиоактивный
reflektieren;отражать
Relation;отношение
Riff;риф
Schlange;змея, очередь
schleichen;красться
Schwein;свинья
segeln;парусный спорт
Selbstständigkeit;независимость
Siedlung;поселение
solide;надежный
Spruch;высказывание
Stellungnahme;заявление
Strahl;луч
streben;стремиться
Strömung;течение
technologisch;технологический
trocknen;сушить
überholen;обгонять
unerträglich;невыносимый
unterstellen;подчинять
Verbindlichkeit;обязательность
verbrauchen;потреблять
vernachlässigen;пренебрегать
Volumen;объем
vorbeigehen;проходить мимо
vortragen;представить
Weib;женщина (уничижительно)
westdeutsch;западногерманский
Zugriff;доступ
Zuhörer;слушатель
zweifellos;несомненно
